TIPO;ESTRATO ;CONSUMO JULIO 2020;CONSUMO AGOSTO 2020.;CONSUMO SEPTIEMBRE 2020.;CONSUMO OCTUBRE 2020.;CONSUMO NOVIEM 2020.;CONSUMO DICIEMBRE 2020.;PROMEDIO
RESIDENCIAL;ESTRATO 3;35;15;27;5;71;0;25.5
RESIDENCIAL;ESTRATO 2;10;7;12;13;8;10;10
RESIDENCIAL;ESTRATO 2;29;19;23;68;0;21;2.666.666.667
RESIDENCIAL;ESTRATO 2;34;29;29;30;53;0;2.916.666.667
RESIDENCIAL;ESTRATO 2;23;13;18;24;15;18;18.5
RESIDENCIAL;ESTRATO 2;24;13;19;11;16;3;1.433.333.333
RESIDENCIAL;ESTRATO 2;10;8;13;15;10;18;1.233.333.333
RESIDENCIAL;ESTRATO 2;15;13;12;18;11;16;1.416.666.667
RESIDENCIAL;ESTRATO 2;10;6;3;0;0;3;3.666.666.667
RESIDENCIAL;ESTRATO 3;5;2;8;19;12;9;9.166.666.667
RESIDENCIAL;ESTRATO 2;12;9;11;11;9;40;1.533.333.333
RESIDENCIAL;ESTRATO 3;0;3;5;1;1;0;1.666.666.667
RESIDENCIAL;ESTRATO 3;27;16;22;27;10;12;19
RESIDENCIAL;ESTRATO 3;14;11;12;14;13;13;1.283.333.333
RESIDENCIAL;ESTRATO 2;18;13;17;39;0;8;1.583.333.333
RESIDENCIAL;ESTRATO 4;27;26;34;50;34;43;3.566.666.667
RESIDENCIAL;ESTRATO 4;3;1;2;3;2;3;2.333.333.333
RESIDENCIAL;ESTRATO 3;12;8;20;7;0;2;8.166.666.667
RESIDENCIAL;ESTRATO 3;12;10;19;25;23;0;1.483.333.333
RESIDENCIAL;ESTRATO 3;2;2;7;9;7;7;5.666.666.667
RESIDENCIAL;ESTRATO 2;29;26;38;32;19;23;2.783.333.333
RESIDENCIAL;ESTRATO 3;32;25;34;41;32;36;3.333.333.333
RESIDENCIAL;ESTRATO 3;27;18;25;23;10;40;2.383.333.333
RESIDENCIAL;ESTRATO 2;29;21;25;27;20;27;2.483.333.333
RESIDENCIAL;ESTRATO 2;15;9;12;15;0;23;1.233.333.333
RESIDENCIAL;ESTRATO 2;6;3;6;6;4;5;5
RESIDENCIAL;ESTRATO 1.0;25;16;20;27;4;38;2.166.666.667
RESIDENCIAL;ESTRATO 1.0;3;2;3;3;10;0;3.5
RESIDENCIAL;ESTRATO 3;24;21;23;32;21;29;25
RESIDENCIAL;ESTRATO 3;92;62;53;74;0;52;55.5
RESIDENCIAL;ESTRATO 2;16;13;13;17;10;11;1.333.333.333
RESIDENCIAL;ESTRATO 2;10;5;9;8;7;8;7.833.333.333
RESIDENCIAL;ESTRATO 2;4;30;19;21;10;13;1.616.666.667
RESIDENCIAL;ESTRATO 2;2;1;2;2;1;3;1.833.333.333
RESIDENCIAL;ESTRATO 2;14;9;12;15;20;1;1.183.333.333
RESIDENCIAL;ESTRATO 3;32;21;28;35;19;41;2.933.333.333
RESIDENCIAL;ESTRATO 3;16;11;24;35;20;29;22.5
RESIDENCIAL;ESTRATO 2;1;1;3;4;10;13;5.333.333.333
RESIDENCIAL;ESTRATO 2;16;11;19;26;18;18;18
RESIDENCIAL;ESTRATO 3;0;0;1;1;1;1;0.6666666667
RESIDENCIAL;ESTRATO 3;0;0;11;9;3;3;4.333.333.333
RESIDENCIAL;ESTRATO 2;0;0;0;0;0;0;0
RESIDENCIAL;ESTRATO 3;83;13;31;45;23;35;3.833.333.333
RESIDENCIAL;ESTRATO 2;17;12;13;17;14;27;1.666.666.667
RESIDENCIAL;ESTRATO 3;29;1;1;0;0;0;5.166.666.667
RESIDENCIAL;ESTRATO 3;35;25;28;41;35;33;3.283.333.333
RESIDENCIAL;ESTRATO 3;39;23;30;52;37;44;37.5
RESIDENCIAL;ESTRATO 3;15;9;17;22;21;16;1.666.666.667
RESIDENCIAL;ESTRATO 4;23;6;36;25;21;32;2.383.333.333
RESIDENCIAL;ESTRATO 3;0;1;0;0;1;0;0.3333333333
RESIDENCIAL;ESTRATO 3;0;0;0;0;0;0;0
RESIDENCIAL;ESTRATO 3;109;9;11;18;11;18;2.933.333.333
RESIDENCIAL;ESTRATO 3;13;8;16;27;20;13;1.616.666.667
RESIDENCIAL;ESTRATO 3;13;0;1;27;15;9;1.083.333.333
RESIDENCIAL;ESTRATO 3;24;16;21;24;19;26;2.166.666.667
RESIDENCIAL;ESTRATO 4;0;0;0;0;0;0;0
RESIDENCIAL;ESTRATO 3;0;0;0;0;0;0;0
RESIDENCIAL;ESTRATO 4;27;21;21;13;18;15;1.916.666.667
RESIDENCIAL;ESTRATO 3;0;0;0;1;5;0;1
RESIDENCIAL;ESTRATO 3;33;21;32;35;21;24;2.766.666.667
RESIDENCIAL;ESTRATO 3;14;6;9;11;8;11;9.833.333.333
RESIDENCIAL;ESTRATO 3;0;1;1;1;1;1;0.8333333333
RESIDENCIAL;ESTRATO 3;8;4;11;19;16;14;12
RESIDENCIAL;ESTRATO 4;2;2;2;4;4;14;4.666.666.667
RESIDENCIAL;ESTRATO 4;0;1;1;0;0;0;0.3333333333
RESIDENCIAL;ESTRATO 3;16;19;21;18;21;13;18
RESIDENCIAL;ESTRATO 3;41;33;23;40;32;39;3.466.666.667
RESIDENCIAL;ESTRATO 3;31;21;31;33;27;34;29.5
RESIDENCIAL;ESTRATO 3;16;11;15;18;9;16;1.416.666.667
RESIDENCIAL;ESTRATO 3;26;14;22;28;16;8;19
RESIDENCIAL;ESTRATO 3;0;0;1;0;1;3;0.8333333333
RESIDENCIAL;ESTRATO 2;35;25;28;28;23;28;2.783.333.333
RESIDENCIAL;ESTRATO 2;28;14;15;17;12;20;1.766.666.667
RESIDENCIAL;ESTRATO 1;16;9;8;11;1;31;1.266.666.667
RESIDENCIAL;ESTRATO 3;24;15;21;24;18;22;2.066.666.667
RESIDENCIAL;ESTRATO 3;38;21;28;28;25;24;2.733.333.333
RESIDENCIAL;ESTRATO 3;2;2;6;7;4;8;4.833.333.333
RESIDENCIAL;ESTRATO 3;6;5;6;18;9;10;9
RESIDENCIAL;ESTRATO 3;16;12;13;18;16;22;1.616.666.667
RESIDENCIAL;ESTRATO 3;0;11;2;0;11;17;6.833.333.333
RESIDENCIAL;ESTRATO 2;1;0;0;0;0;0;0.1666666667
RESIDENCIAL;ESTRATO 3;0;1;13;1;0;1;2.666.666.667
RESIDENCIAL;ESTRATO 3;7;43;25;28;22;25;25
RESIDENCIAL;ESTRATO 3;12;8;12;16;13;24;1.416.666.667
RESIDENCIAL;ESTRATO 3;24;14;16;1;17;22;1.566.666.667
RESIDENCIAL;ESTRATO 2;83;43;57;75;42;32;5.533.333.333
RESIDENCIAL;ESTRATO 2;1;1;3;3;1;6;2.5
RESIDENCIAL;ESTRATO 2;4;3;4;5;2;6;4
RESIDENCIAL;ESTRATO 2;23;15;17;20;18;21;19
RESIDENCIAL;ESTRATO 2;13;8;10;15;8;11;1.083.333.333
RESIDENCIAL;ESTRATO 3;42;26;31;33;29;30;3.183.333.333
RESIDENCIAL;ESTRATO 2;15;15;17;7;7;4;1.083.333.333
RESIDENCIAL;ESTRATO 2;13;6;10;18;7;21;12.5
RESIDENCIAL;ESTRATO 2;22;11;27;27;15;25;2.116.666.667
RESIDENCIAL;ESTRATO 2;65;49;58;86;58;76;6.533.333.333
RESIDENCIAL;ESTRATO 2;20;9;13;15;15;17;1.483.333.333
RESIDENCIAL;ESTRATO 2;31;18;20;25;12;0;1.766.666.667
RESIDENCIAL;ESTRATO 1;55;32;36;34;43;14;3.566.666.667
RESIDENCIAL;ESTRATO 2;14;6;10;11;8;12;1.016.666.667
RESIDENCIAL;ESTRATO 2;30;36;65;79;0;0;35
RESIDENCIAL;ESTRATO 2;13;11;18;15;8;19;14
RESIDENCIAL;ESTRATO 2;32;20;30;31;13;97;3.716.666.667
RESIDENCIAL;ESTRATO 2;17;12;18;23;13;16;16.5
RESIDENCIAL;ESTRATO 2;3;1;2;1;4;15;4.333.333.333
RESIDENCIAL;ESTRATO 2;88;46;63;11;114;66;6.466.666.667
RESIDENCIAL;ESTRATO 2;6;8;11;4;22;16;1.116.666.667
RESIDENCIAL;ESTRATO 2;36;24;26;35;27;44;32
RESIDENCIAL;ESTRATO 2;38;28;23;18;16;8;2.183.333.333
RESIDENCIAL;ESTRATO 2;63;42;58;71;35;94;60.5
RESIDENCIAL;ESTRATO 2;0;0;15;0;0;0;2.5
RESIDENCIAL;ESTRATO 2;3;2;3;2;2;1;2.166.666.667
RESIDENCIAL;ESTRATO 4;12;6;10;15;12;10;1.083.333.333
RESIDENCIAL;ESTRATO 2;7;4;7;9;7;5;6.5
RESIDENCIAL;ESTRATO 2;4;2;4;4;3;1;3
RESIDENCIAL;ESTRATO 2;37;28;28;35;20;26;29
RESIDENCIAL;ESTRATO 2;25;15;21;30;1;0;1.533.333.333
RESIDENCIAL;ESTRATO 4;47;33;50;65;118;0;5.216.666.667
RESIDENCIAL;ESTRATO 4;16;9;16;13;9;15;13
RESIDENCIAL;ESTRATO 4;69;39;70;79;61;80;6.633.333.333
RESIDENCIAL;ESTRATO 3;4;3;6;11;7;21;8.666.666.667
RESIDENCIAL;ESTRATO 3;52;37;49;40;35;34;4.116.666.667
RESIDENCIAL;ESTRATO 3;16;8;0;36;15;21;16
RESIDENCIAL;ESTRATO 3;7;4;6;7;6;6;6
RESIDENCIAL;ESTRATO 4;52;16;31;24;31;12;2.766.666.667
RESIDENCIAL;ESTRATO 3;1;0;4;2;0;1;1.333.333.333
RESIDENCIAL;ESTRATO 4;0;0;13;21;13;20;1.116.666.667
RESIDENCIAL;ESTRATO 3;17;13;25;40;40;33;28
RESIDENCIAL;ESTRATO 3;89;47;70;65;40;27;5.633.333.333
RESIDENCIAL;ESTRATO 3;5;4;6;10;0;0;4.166.666.667
RESIDENCIAL;ESTRATO 4;31;21;36;30;11;2;2.183.333.333
RESIDENCIAL;ESTRATO 4;17;14;38;43;34;42;3.133.333.333
RESIDENCIAL;ESTRATO 3;15;2;25;15;12;14;1.383.333.333
RESIDENCIAL;ESTRATO 2;4;2;3;3;3;3;3
RESIDENCIAL;ESTRATO 2;8;5;7;9;7;10;7.666.666.667
RESIDENCIAL;ESTRATO 1;25;16;28;25;18;24;2.266.666.667
RESIDENCIAL;ESTRATO 2;5;8;9;9;6;18;9.166.666.667
RESIDENCIAL;ESTRATO 2;30;16;23;27;19;28;2.383.333.333
RESIDENCIAL;ESTRATO 2;21;18;27;29;16;2;1.883.333.333
RESIDENCIAL;ESTRATO 3;26;0;43;21;16;20;21
RESIDENCIAL;ESTRATO 3;87;30;10;7;11;240;6.416.666.667
RESIDENCIAL;ESTRATO 3;0;0;0;0;0;0;0
RESIDENCIAL;ESTRATO 3;1;0;1;1;4;0;1.166.666.667
RESIDENCIAL;ESTRATO 2;49;26;46;53;38;50;4.366.666.667
RESIDENCIAL;ESTRATO 2;0;0;1;5;2;1;1.5
RESIDENCIAL;ESTRATO 4;32;22;31;39;27;37;3.133.333.333
RESIDENCIAL;ESTRATO 2;12;7;12;26;19;21;1.616.666.667
RESIDENCIAL;ESTRATO 2;12;8;12;15;8;15;1.166.666.667
RESIDENCIAL;ESTRATO 3;21;7;38;51;37;26;30
RESIDENCIAL;ESTRATO 3;30;81;7;2;0;20;2.333.333.333
RESIDENCIAL;ESTRATO 4;73;50;80;93;54;82;72
RESIDENCIAL;ESTRATO 3;23;11;18;36;34;79;33.5
RESIDENCIAL;ESTRATO 3;7;7;6;7;5;18;8.333.333.333
RESIDENCIAL;ESTRATO 3;0;0;1;22;15;24;1.033.333.333
RESIDENCIAL;ESTRATO 4;20;8;15;13;0;55;18.5
RESIDENCIAL;ESTRATO 3;18;10;18;28;57;0;2.183.333.333
RESIDENCIAL;ESTRATO 3;9;5;7;8;8;12;8.166.666.667
RESIDENCIAL;ESTRATO 2;18;11;14;17;18;20;1.633.333.333
RESIDENCIAL;ESTRATO 2;17;10;16;70;0;0;1.883.333.333
RESIDENCIAL;ESTRATO 4;6;3;6;3;7;5;5
RESIDENCIAL;ESTRATO 4;3;1;7;6;12;8;6.166.666.667
RESIDENCIAL;ESTRATO 4;4;3;4;5;3;2;3.5
RESIDENCIAL;ESTRATO 4;4;5;4;5;2;3;3.833.333.333
RESIDENCIAL;ESTRATO 4;7;3;5;6;2;5;4.666.666.667
RESIDENCIAL;ESTRATO 4;10;6;7;14;9;10;9.333.333.333
RESIDENCIAL;ESTRATO 3;0;0;9;1;20;12;7
RESIDENCIAL;ESTRATO 3;0;1;0;0;1;0;0.3333333333
RESIDENCIAL;ESTRATO 3;54;20;22;22;24;32;29
RESIDENCIAL;ESTRATO 3;10;5;7;5;6;4;6.166.666.667
RESIDENCIAL;ESTRATO 3;16;3;8;6;5;6;7.333.333.333
RESIDENCIAL;ESTRATO 4;9;5;8;4;4;4;5.666.666.667
RESIDENCIAL;ESTRATO 4;21;11;14;20;15;11;1.533.333.333
RESIDENCIAL;ESTRATO 3;30;10;16;16;1;32;17.5
RESIDENCIAL;ESTRATO 3;12;8;9;10;11;10;10
RESIDENCIAL;ESTRATO 3;2;2;2;6;3;1;2.666.666.667
RESIDENCIAL;ESTRATO 3;0;6;0;8;10;0;4
RESIDENCIAL;ESTRATO 3;9;12;16;21;12;24;1.566.666.667
RESIDENCIAL;ESTRATO 3;41;26;32;24;22;33;2.966.666.667
RESIDENCIAL;ESTRATO 3;4;4;5;5;4;10;5.333.333.333
RESIDENCIAL;ESTRATO 3;12;6;20;21;6;18;1.383.333.333
RESIDENCIAL;ESTRATO 3;15;9;14;18;15;20;1.516.666.667
RESIDENCIAL;ESTRATO 3;0;0;0;0;5;28;5.5
RESIDENCIAL;ESTRATO 4;103;59;80;89;63;78;7.866.666.667
RESIDENCIAL;ESTRATO 4;7;4;6;8;7;8;6.666.666.667
RESIDENCIAL;ESTRATO 2;6;3;6;9;0;28;8.666.666.667
RESIDENCIAL;ESTRATO 2;13;9;15;18;11;0;11
RESIDENCIAL;ESTRATO 3;15;16;16;12;0;7;11
RESIDENCIAL;ESTRATO 3;14;18;11;24;12;25;1.733.333.333
RESIDENCIAL;ESTRATO 2;50;32;43;15;58;39;39.5
RESIDENCIAL;ESTRATO 3;23;17;15;22;17;69;2.716.666.667
RESIDENCIAL;ESTRATO 2;28;24;27;32;19;24;2.566.666.667
RESIDENCIAL;ESTRATO 2;11;9;8;15;8;12;10.5
RESIDENCIAL;ESTRATO 2;27;23;28;37;19;35;2.816.666.667
RESIDENCIAL;ESTRATO 2;23;16;17;23;12;30;2.016.666.667
RESIDENCIAL;ESTRATO 2;28;41;57;95;56;121;6.633.333.333
RESIDENCIAL;ESTRATO 2;71;78;9;23;12;30;3.716.666.667
RESIDENCIAL;ESTRATO 2;22;15;17;14;12;19;16.5
RESIDENCIAL;ESTRATO 2;13;8;10;11;8;22;12
RESIDENCIAL;ESTRATO 2;5;40;21;26;14;32;23
RESIDENCIAL;ESTRATO 2;22;33;51;32;33;102;45.5
RESIDENCIAL;ESTRATO 2;18;12;13;16;8;19;1.433.333.333
RESIDENCIAL;ESTRATO 2;21;16;15;16;8;29;17.5
RESIDENCIAL;ESTRATO 2;71;41;51;66;34;62;5.416.666.667
RESIDENCIAL;ESTRATO 2;7;15;19;10;5;23;1.316.666.667
RESIDENCIAL;ESTRATO 2;4;2;2;2;2;3;2.5
RESIDENCIAL;ESTRATO 2;12;18;10;13;9;35;1.616.666.667
RESIDENCIAL;ESTRATO 2;12;11;8;7;4;13;9.166.666.667
RESIDENCIAL;ESTRATO 2;25;22;33;38;18;28;2.733.333.333
RESIDENCIAL;ESTRATO 3;84;54;64;59;42;74;6.283.333.333
RESIDENCIAL;ESTRATO 2;14;9;10;17;3;38;1.516.666.667
RESIDENCIAL;ESTRATO 2;6;5;9;8;4;7;6.5
RESIDENCIAL;ESTRATO 2;31;22;24;22;15;30;24
RESIDENCIAL;ESTRATO 2;19;22;24;26;8;25;2.066.666.667
RESIDENCIAL;ESTRATO 2;18;32;11;14;8;18;1.683.333.333
RESIDENCIAL;ESTRATO 2;7;6;6;6;8;2;5.833.333.333
RESIDENCIAL;ESTRATO 2;29;25;24;30;16;37;2.683.333.333
RESIDENCIAL;ESTRATO 2;8;5;4;1;3;6;4.5
RESIDENCIAL;ESTRATO 2;8;22;26;34;18;43;2.516.666.667
RESIDENCIAL;ESTRATO 2;30;29;31;25;15;34;2.733.333.333
RESIDENCIAL;ESTRATO 2;21;19;22;21;11;38;22
RESIDENCIAL;ESTRATO 2;5;3;5;5;2;12;5.333.333.333
RESIDENCIAL;ESTRATO 2;16;13;14;17;9;19;1.466.666.667
RESIDENCIAL;ESTRATO 2;13;18;14;15;9;16;1.416.666.667
RESIDENCIAL;ESTRATO 2;26;19;25;24;16;25;22.5
RESIDENCIAL;ESTRATO 2;15;10;15;3;0;3;7.666.666.667
RESIDENCIAL;ESTRATO 2;24;35;30;41;19;53;3.366.666.667
RESIDENCIAL;ESTRATO 3;23;21;22;12;7;24;1.816.666.667
RESIDENCIAL;ESTRATO 2;57;26;6;11;22;24;2.433.333.333
RESIDENCIAL;ESTRATO 2;35;11;17;35;13;29;2.333.333.333
RESIDENCIAL;ESTRATO 2;41;28;25;30;12;35;28.5
RESIDENCIAL;ESTRATO 2;60;46;60;68;40;79;5.883.333.333
RESIDENCIAL;ESTRATO 2;9;5;6;8;4;8;6.666.666.667
RESIDENCIAL;ESTRATO 2;21;16;17;22;12;30;1.966.666.667
RESIDENCIAL;ESTRATO 2;38;25;31;34;31;73;3.866.666.667
RESIDENCIAL;ESTRATO 2;2;0;1;9;2;10;4
RESIDENCIAL;ESTRATO 2;32;30;33;33;20;39;3.116.666.667
RESIDENCIAL;ESTRATO 3;13;11;86;12;30;27;2.983.333.333
RESIDENCIAL;ESTRATO 3;40;21;46;147;15;55;54
RESIDENCIAL;ESTRATO 3;30;33;30;25;18;35;28.5
RESIDENCIAL;ESTRATO 3;40;26;33;29;18;26;2.866.666.667
RESIDENCIAL;ESTRATO 3;10;5;10;36;20;55;2.266.666.667
RESIDENCIAL;ESTRATO 3;9;0;0;0;0;0;1.5
RESIDENCIAL;ESTRATO 3;10;9;8;6;8;14;9.166.666.667
RESIDENCIAL;ESTRATO 3;27;25;25;35;17;34;2.716.666.667
RESIDENCIAL;ESTRATO 3;19;2;26;37;24;38;2.433.333.333
RESIDENCIAL;ESTRATO 3;14;11;17;261;10;18;5.516.666.667
RESIDENCIAL;ESTRATO 3;0;0;0;1;1;0;0.3333333333
RESIDENCIAL;ESTRATO 3;90;77;102;61;110;98;8.966.666.667
RESIDENCIAL;ESTRATO 2;15;14;13;11;10;25;1.466.666.667
RESIDENCIAL;ESTRATO 2;1;0;5;0;8;21;5.833.333.333
RESIDENCIAL;ESTRATO 3;15;8;11;12;7;15;1.133.333.333
RESIDENCIAL;ESTRATO 3;40;33;42;29;15;18;29.5
RESIDENCIAL;ESTRATO 3;13;11;11;14;7;16;12
RESIDENCIAL;ESTRATO 3;7;8;14;49;3;85;2.766.666.667
RESIDENCIAL;ESTRATO 3;26;17;21;20;11;22;19.5
RESIDENCIAL;ESTRATO 3;16;12;13;15;9;21;1.433.333.333
RESIDENCIAL;ESTRATO 3;13;18;24;18;7;67;24.5
RESIDENCIAL;ESTRATO 2;10;0;0;0;1;0;1.833.333.333
RESIDENCIAL;ESTRATO 2;4;3;4;4;2;5;3.666.666.667
RESIDENCIAL;ESTRATO 2;25;19;26;29;16;32;24.5
RESIDENCIAL;ESTRATO 2;14;11;12;16;9;17;1.316.666.667
RESIDENCIAL;ESTRATO 2;0;0;0;1;0;0;0.1666666667
RESIDENCIAL;ESTRATO 2;28;23;29;25;15;25;2.416.666.667
RESIDENCIAL;ESTRATO 1;7;10;8;7;4;5;6.833.333.333
RESIDENCIAL;ESTRATO 2;37;33;35;47;23;43;3.633.333.333
RESIDENCIAL;ESTRATO 3;6;13;14;9;4;5;8.5
RESIDENCIAL;ESTRATO 2;41;29;26;31;18;33;2.966.666.667
RESIDENCIAL;ESTRATO 2;0;0;1;1;0;0;0.3333333333
RESIDENCIAL;ESTRATO 2;0;1;2;2;2;3;1.666.666.667
RESIDENCIAL;ESTRATO 2;25;24;38;35;23;69;3.566.666.667
RESIDENCIAL;ESTRATO 2;15;0;13;11;7;33;1.316.666.667
RESIDENCIAL;ESTRATO 2;1;0;1;4;1;15;3.666.666.667
RESIDENCIAL;ESTRATO 2;13;10;11;17;8;25;14
RESIDENCIAL;ESTRATO 2;12;8;12;15;11;24;1.366.666.667
RESIDENCIAL;ESTRATO 2;26;21;25;30;22;35;26.5
RESIDENCIAL;ESTRATO 2;0;0;0;16;7;1;4
RESIDENCIAL;ESTRATO 2;34;27;35;32;24;58;35
RESIDENCIAL;ESTRATO 2;3;2;3;4;3;9;4
RESIDENCIAL;ESTRATO 2;0;0;0;1;0;3;0.6666666667
RESIDENCIAL;ESTRATO 2;0;4;17;10;6;11;8
RESIDENCIAL;ESTRATO 2;0;195;88;83;41;93;8.333.333.333
